taxonomy	T001	T002	T003	T004	T005	T007	T008	T009	T011	T012	T013	T014	T015	T016	T017	T018	T019	T020	T021	T022	T023	T024	T025	T026	T027	T028	T029	T032	T033	T034	T035	T036	T037	T038	T039	T040	T041	T042	T044	T045	T046	T047	T048	T049	T050	T051	T052	T053	T054	T055	T056	T057	T058	T059	T061	T062	T064	T065	T067	T068	T069	T070	T071	T072	T076	T077	T079	T083	T084	T085	T087	T088
k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Eurotiales; f__Aspergillaceae; g__Penicillium; s__Penicillium_lanosocoeruleum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	1	0	3	0	0	0
k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Eurotiales; f__Aspergillaceae; g__Penicillium; s__Penicillium_meleagrinum	2	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	1	2	0	7	0	0	2	0	2	3	0	0	2	0	0	0	6	0	2	0	0	0
k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Hypocreales; f__Clavicipitaceae; g__Papiliomyces; s__Papiliomyces_shibinensis	4	2	3	13	4	4	0	0	0	0	3	0	4	0	0	0	6	0	0	0	8	3	4	6	0	3	9	5	2	6	6	4	9	10	8	0	5	6	25	3	2	0	0	54	5	2	7	0	3	0	5	4	2	2	20	0	0	1	4	0	6	3	2	15	14	8	21	0	2	0	0	0
k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Chaetothyriales; Unclassified; g__Melnikomyces; s__Melnikomyces_vietnamensis	0	0	6	29	14	2	7	0	0	0	8	7	0	25	2	0	22	1	0	0	0	16	0	6	2	3	0	11	0	0	2	0	0	19	3	5	0	0	0	0	9	14	1	68	14	93	2	52	7	10	6	10	6	11	0	11	7	32	12	1	0	3	7	9	0	0	9	5	9	6	0	5
k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Eurotiales; f__Aspergillaceae; Unclassified; Unclassified	23	52	143	76	42	28	43	55	69	89	149	257	307	202	213	104	160	298	165	78	18	56	103	70	111	168	10	103	94	38	62	180	204	56	103	69	57	43	62	145	14	215	80	23	3	16	62	19	19	15	2	32	2	6	46	3	7	12	2	31	19	97	0	11	28	31	20	53	3	22	4	29
k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Russulales; f__Russulaceae; g__Lactarius; s__Lactarius_reticulisporus	0	0	0	0	0	0	11	1	0	23	0	0	0	82	0	3	0	0	0	54	2	3	35	186	0	24	14	3	23	1	54	0	22	112	0	147	5	0	2	116	2	4	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	2	8	0	35	0	0	1	226	0
k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Cladosporiales; f__Cladosporiaceae; g__Cladosporium; Unclassified	17	1	17	0	11	5	0	0	0	0	4	0	0	0	0	0	0	2	0	3	0	0	28	0	0	0	1	0	2	8	5	4	2	0	6	3	3	3	6	0	0	2	4	0	18	6	0	4	0	1	1	2	0	24	2	0	1	0	17	1	3	0	8	2	144	3	16	1	24	0	0	1
k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Xylariales; f__Beltraniaceae; g__Beltraniella; s__Beltraniella_endiandrae	0	0	0	10	10	0	7	0	0	0	0	5	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	6	3	57	6	226	1	0	0	0	0	0	0	0	7	5	0	0	0	10	0	0	18	0	27	6	0	0
k__Fungi; p__Ascomycota; c__Leotiomycetes; o__Helotiales; f__Myxotrichaceae; Unclassified; Unclassified	0	0	0	9	0	8	0	0	0	2	0	37	0	17	0	0	0	0	4	12	0	0	0	0	14	3	6	0	2	0	2	2	1	0	2	3	2	8	7	0	0	4	9	2	3	0	1	2	8	1	5	3	16	5	0	0	3	13	5	3	1	0	0	22	0	0	5	1	2	0	0	0
k__Fungi; p__Ascomycota; c__Leotiomycetes; o__Helotiales; f__Dermateaceae; Unclassified; Unclassified	10	30	5	16	0	4	0	2	4	4	0	0	5	2	0	5	28	16	19	83	0	14	6	0	1	28	0	0	0	0	27	2	0	2	14	2	552	2	10	5	11	2	3	11	0	5	62	0	0	3	6	3	14	0	3	2	0	0	18	1	0	10	0	3	8	0	8	17	16	2	0	0
k__Fungi; p__Mucoromycota; c__Endogonomycetes; o__GS21; Unclassified; Unclassified; Unclassified	7	14	28	16	6	5	6	21	2	23	7	2	9	1	0	6	41	0	27	0	7	12	3	5	7	4	6	11	13	16	9	15	14	1	0	10	32	8	11	6	15	2	0	47	12	0	8	4	0	0	6	0	0	0	9	0	0	3	0	0	2	7	7	8	32	18	8	17	8	7	0	7
k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Sordariales; f__Lasiosphaeriaceae; g__Fimetariella; Unclassified	0	0	0	0	6	7	0	2	3	0	0	0	0	0	2	1	5	0	0	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	2	8	9	12	8	3	2	2	2	0	16	3	0	0	0	1	0	0	5	0	0	0	4	5	0	0	15	0	2	0	0	0
k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Eurotiales; f__Aspergillaceae; g__Penicillium; s__Penicillium_sumatraense	2	2	0	0	1	1	2	1	2	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	1	1	0	0	0	0	1	2	0	0	2	0	2	5	4	0	22	0	0	1	0	7	11	1	0	6	0	0	3	8	0	3	0	0	0
k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Eurotiales; f__Aspergillaceae; g__Penicillium; s__Penicillium_variratense	0	0	2	0	0	0	3	0	0	0	0	3	0	4	0	5	0	0	0	0	2	8	0	0	1	0	2	2	1	0	0	0	0	1	0	0	0	0	10	0	0	1	1	0	0	0	6	2	0	1	6	2	3	0	0	0	0	2	0	0	2	0	0	2	0	0	3	0	0	0	0	0
k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Xylariales; f__Beltraniaceae; g__Beltraniella; s__Beltraniella_acaciae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	1	0	0	4	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	3	0	0	3	4	3	0	8	4	0	0	0	0
k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Pleosporales; f__Didymosphaeriaceae; Unclassified; Unclassified	0	0	9	5	0	0	0	0	0	0	0	0	2	6	0	0	0	0	0	0	0	0	2	6	0	0	3	0	0	0	3	1	0	0	0	0	1	0	10	0	0	0	0	0	0	6	0	11	2	3	5	3	0	0	8	0	0	7	1	0	1	0	3	0	0	0	14	0	4	1	0	6
k__Fungi; p__Ascomycota; c__Saccharomycetes; o__Saccharomycetales; f__Debaryomycetaceae; g__Candida; Unclassified	0	0	0	0	3	0	0	1	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Glomerellales; f__Reticulascaceae; g__Blastophorum; Unclassified	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Ophiostomatales; f__Ophiostomataceae; g__Ophiostoma; s__Ophiostoma_eucalyptigena	2	9	7	2	0	14	27	6	3	20	10	4	149	7	0	29	3	18	22	4	3	235	33	9	11	16	30	35	8	3	11	11	5	73	15	15	54	20	7	2	1	82	0	7	2	16	4	19	9	32	17	14	9	40	13	5	0	1	16	45	6	7	16	7	16	20	53	14	15	12	1	1
k__Fungi; p__Ascomycota; c__Orbiliomycetes; Unclassified; Unclassified; Unclassified; Unclassified	0	0	8	0	2	0	0	0	0	0	0	0	0	7	0	0	3	0	0	3	0	7	1	0	0	0	3	0	0	0	6	0	0	0	2	0	2	0	2	0	0	0	30	0	5	7	0	0	0	21	0	0	0	94	6	0	7	0	29	0	0	3	8	5	0	96	12	0	7	2	2	5
k__Fungi; p__Basidiomycota; c__Tremellomycetes; o__Tremellales; Unclassified; Unclassified; Unclassified	14	1	6	5	12	0	4	13	5	0	9	3	0	5	8	5	62	0	164	6	2	1	16	0	50	20	65	0	52	0	2	1	0	0	156	21	10	0	6	4	3	0	2	15	46	7	15	28	2	0	8	21	123	26	0	20	5	46	16	9	0	4	1	8	0	1	21	6	26	0	2	0
k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Eurotiales; f__Aspergillaceae; g__Penicillium; s__Penicillium_sublateritium	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	3	0	0	2	0	0	0	0	1	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	3	0	2	4	0	0	1	0	2	0	0	0	1	0	0	3	0	0	0	0	0
k__Fungi; p__Glomeromycota; c__Glomeromycetes; o__Diversisporales; f__Gigasporaceae; g__Dentiscutata; s__Dentiscutata_savannicola	14	0	17	0	0	0	0	0	174	2	6	0	0	0	2	0	4	1	2	0	0	0	0	2	1	0	1	0	0	2	0	11	3	0	2	0	0	0	9	0	0	0	2	0	2	24	0	15	30	5	0	3	0	165	0	0	0	2	0	0	0	0	6	7	0	0	4	0	0	2	1	0
k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Eurotiales; f__Aspergillaceae; g__Penicillium; s__Penicillium_expansum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	5	0	0	0	0	0	2	0	0	0	0	0
k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Agaricales; f__Cortinariaceae; g__Cortinarius; Unclassified	0	5	0	9	7	256	4	0	13	12	13	0	134	1	1	0	437	4	0	0	0	0	0	0	4234	9	5	2	1	6	0	55	0	0	1	0	1	0	8	156	0	34	4	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1151	0	7	1	0	11	0	1
k__Fungi; p__Basidiomycota; c__Tremellomycetes; o__Tremellales; f__Trimorphomycetaceae; g__Saitozyma; Unclassified	10	3	0	4	0	18	16	2	15	5	4	13	9	15	6	14	9	4	3	0	2	10	4	4	0	17	3	0	3	3	4	11	4	3	27	1	0	5	5	4	0	0	4	3	3	1	4	2	3	4	3	3	3	0	4	16	3	3	2	6	8	55	4	5	3	5	2	3	8	2	1	0
k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Hypocreales; f__Hypocreaceae; g__Trichoderma; s__Trichoderma_hamatum	29	5	14	109	28	140	6	46	5	6	20	12	13	22	8	11	220	1	109	13	45	156	12	44	15	18	129	16	30	23	9	19	54	16	583	0	9	24	50	68	33	16	155	44	10	6	15	14	0	196	13	10	158	2	5	25	8	52	5	26	72	3	18	56	11	4	6	32	43	46	15	6
k__Fungi; p__Ascomycota; c__Pezizomycetes; o__Pezizales; f__Chorioactidaceae; g__Trichaleurina; s__Trichaleurina_tenuispora	0	0	0	0	0	3	0	0	0	0	0	0	0	0	3	0	0	0	0	0	4	0	0	0	0	0	2	0	0	0	2	0	0	1	0	0	2	0	0	0	0	2	0	0	0	1	4	13	0	2	50	7	0	21	0	2	7	2	0	23	0	0	5	0	0	0	18	0	9	0	0	0
k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Eurotiales; f__Aspergillaceae; g__Penicillium; s__Penicillium_manginii	0	0	0	0	2	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	4	6	0	0	4	2	4	1	0	0	0	0	1	7	0	0	0	1	2	0	0	0	0	1	0	4	2	2	3	6	15	6	0	5	7	1	0	0	2	18	0	1	2	6	0	0	6	0	8	2	0	0
k__Fungi; p__Ascomycota; c__Leotiomycetes; o__Helotiales; Unclassified; g__Davidhawksworthia; s__Davidhawksworthia_ilicicola	18	0	0	21	0	2	0	0	6	0	0	0	0	0	0	0	0	0	20	0	0	9	5	0	0	0	1	0	2	0	1	0	0	0	7	0	0	0	35	0	0	0	0	1	0	0	60	0	1	5	2	9	46	0	0	12	2	0	52	0	0	4	0	11	2	5	36	77	52	0	0	1
k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Xylariales; f__Beltraniaceae; g__Beltraniella; Unclassified	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	1	0	0	4	1	13	0	0	0	0	15	0	0	0	0	2	0	2	2	3	0	0	2	0	1	0	0	0
k__Fungi; p__Mortierellomycota; c__Mortierellomycetes; o__Mortierellales; f__Mortierellaceae; g__Mortierella; s__Mortierella_wuyishanensis	41	14	6	66	21	5	8	42	23	27	17	0	136	39	11	113	70	29	26	72	48	13	4	134	34	15	30	43	124	28	42	87	12	59	9	7	49	313	94	11	6	9	29	34	516	94	355	11	241	606	152	263	159	19	25	88	71	624	187	724	38	4487	134	393	29	157	7	67	53	22	52	179
k__Fungi; p__Ascomycota; c__Saccharomycetes; o__Saccharomycetales; f__Debaryomycetaceae; g__Candida; s__Candida_quercitrusa	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	70	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	30	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	2	1	0	0
k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Sclerococcales; f__Dactylosporaceae; Unclassified; Unclassified	202	1	2	2	0	4	0	45	2	0	0	0	1	5	27	9	0	2	0	9	27	0	2	28	0	10	0	0	0	0	3	0	0	43	0	7	9	0	1	0	0	0	6	3	1	1065	6	0	1	24	51	1	17	0	2	4	39	29	0	0	14	2	4	10	10	0	7	2	0	4	0	5
k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Eurotiales; f__Aspergillaceae; g__Penicillium; s__Penicillium_fuscoglaucum	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	4	0	0	0	0	0
k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Agaricales; f__Omphalotaceae; Unclassified; Unclassified	0	0	0	1	35	0	0	0	0	5	0	0	4	7	2	6	0	0	2	92	0	0	2	0	3	298	0	0	0	15	0	4	3	0	0	0	12	0	0	0	4	21	9	0	0	3	0	0	10	0	0	0	6	0	0	0	49	0	0	0	55	0	0	2	1	19	8	3	0	4	0	0
k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Eurotiales; f__Aspergillaceae; g__Penicillium; s__Penicillium_hispanicum	3	0	0	3	0	2	3	0	3	0	2	0	1	3	0	1	0	0	0	0	0	0	0	0	3	0	2	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	5	0	3	0	0	1	12	0	1	4	0	0	2	3	1	6	0	6	5	1	0	19	0	0	1	0	7
k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Eurotiales; f__Aspergillaceae; g__Penicillium; s__Penicillium_crystallinum	0	0	0	0	0	2	0	0	14	0	2	3	0	0	0	5	0	0	3	0	0	0	1	0	0	0	1	3	0	0	0	1	0	1	0	1	3	1	11	1	0	1	0	3	1	0	0	0	0	0	0	8	3	0	0	17	0	2	3	0	0	1	12	0	0	0	4	0	0	0	0	0
k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Pleosporales; f__Latoruaceae; Unclassified; Unclassified	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	1	0	0
k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Conioscyphales; Unclassified; Unclassified; Unclassified	1	0	0	0	3	0	1	0	3	0	0	5	0	18	2	17	7	0	0	0	0	3	0	5	0	0	3	0	2	0	0	1	4	0	0	0	1	2	5	0	0	0	3	3	0	12	0	0	1	2	0	39	7	3	3	0	5	12	1	16	0	0	0	1	0	0	5	0	2	0	0	0
k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Eurotiales; f__Aspergillaceae; g__Penicillium; s__Penicillium_melanoconidium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0
k__Fungi; p__Ascomycota; c__Leotiomycetes; o__Phacidiales; Unclassified; Unclassified; Unclassified	0	2	45	2	0	0	2	2	0	3	3	0	0	0	0	0	0	0	1	3	0	0	4	0	0	0	0	0	0	0	6	3	0	0	0	0	0	0	1	0	0	0	0	10	0	0	83	2	0	9	0	1	0	0	4	0	0	0	0	0	88	0	2	0	3	0	0	48	44	0	0	0
k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Xylariales; f__Amphisphaeriaceae; g__Funiliomyces; s__Funiliomyces_biseptatus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	39	0	0	0	0	0	19	0	0	0	0	7
k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Hypocreales; f__Hypocreales_fam_Incertae_sedis; g__Sporidesmium; Unclassified	1	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	2	0	0	0	0	0	0	10	0	0	0	3	0	0	2	0	0	0	6	0	2	0	0	0
k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Xylariales; f__Sporocadaceae; g__Pestalotiopsis; Unclassified	0	0	5	0	1	0	2	0	0	0	0	0	0	2	3	4	4	0	0	0	0	1	0	14	1	0	2	202	3	0	0	0	2	1	1	0	7	8	3	0	0	0	2	5	3	10	4	2	0	0	2	2	0	0	0	1	0	0	0	1	0	1	0	5	3	3	4	2	10	0	1	0
k__Fungi; p__Basidiomycota; c__Tremellomycetes; o__Tremellales; f__Trimorphomycetaceae; g__Sugitazyma; s__Sugitazyma_miyagiana	0	0	2	2	0	0	0	0	0	0	4	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	6	0	0	0	1	2	1	0	2	1	0	0	0	4	4	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	1	8	0	0	0	0	0
k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Agaricales; f__Lycoperdaceae; g__Calvatia; s__Calvatia_fragilis	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	3	4	6	0	0	0	0	0	0	0	0	0	2	0	3	3	0	0	0	0	1	0	9	0	0	1	0	0
k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Hypocreales; f__Nectriaceae; g__Gliocladiopsis; s__Gliocladiopsis_ecuadoriensis	55	0	3	5	10	61	33	6	0	9	133	0	5	20	2	0	10	0	2	99	7	108	0	2	2	5	100	2	0	0	0	0	36	0	3	3	1	0	215	11	3	0	3	7	30	54	55	301	58	116	80	48	68	1043	18	89	19	22	128	19	7	2	264	28	0	2	19	33	168	24	18	7
k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Russulales; Unclassified; Unclassified; Unclassified	0	0	87	0	0	0	0	0	0	254	0	11	0	0	1	11	56	55	54	2	65	298	0	0	57	24	46	0	52	0	0	0	3	0	0	0	4	0	0	0	0	10	0	0	0	4	0	31	0	10	3	10	0	7	0	1	5	19	4	4	0	0	28	0	0	20	16	3	0	10	0	0
k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Hypocreales; f__Hypocreaceae; g__Trichoderma; s__Trichoderma_asperellum	0	0	0	5	6	2	0	1	0	3	0	0	0	1	2	0	7	0	5	2	1	0	0	0	0	1	5	2	1	3	2	2	0	2	8	0	0	0	2	2	0	1	2	2	6	3	4	0	2	17	3	0	3	0	0	0	0	2	0	2	2	2	8	5	1	3	0	3	5	12	0	0
k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Eurotiales; f__Aspergillaceae; g__Aspergillus; s__Aspergillus_citocrescens	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	21	0	10	0	2	0	0	52	0	0	0	0	0	0	0	7	0	0	0	12	0	0	37	0	0	0	0	0
k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Tracyllales; f__Tracyllaceae; g__Neotracylla; Unclassified	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0
k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Eurotiales; f__Aspergillaceae; g__Penicillium; s__Penicillium_atrosanguineum	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	5	0	0	0	0	0	0	6	0	0	0	2	1	0	0	0	0	1	0	2	1	5	2	2	4	4	0	4	5	0	0	0	1	8	0	0	0	2	0	0	8	0	4	0	0	1
k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Xylariales; f__Xylariaceae; g__Nodulisporium; Unclassified	0	3	0	3	3	7	6	12	14	5	8	11	3	5	3	5	2	0	3	5	11	8	4	22	8	0	50	9	3	19	3	4	13	22	2	12	8	9	3	7	0	28	1	3	0	0	8	7	3	0	0	3	0	3	24	3	1	3	3	16	0	0	3	0	0	0	21	0	3	1	0	0
k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Sordariales; Unclassified; g__Cordana; s__Cordana_mercadiana	0	0	0	0	3	5	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	2	7	3	2	2	0	0	0	0	4	0	0	0	0	0	0	0	2	1	0	0	1	0	0	0	8	1	6	0	0	4
k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Hypocreales; f__Stachybotryaceae; g__Achroiostachys; Unclassified	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
k__Fungi; p__Ascomycota; c__Archaeorhizomycetes; o__Archaeorhizomycetales; f__Archaeorhizomycetaceae; g__Archaeorhizomyces; Unclassified	0	13	2	0	4	86	14	0	0	1	0	0	0	6	0	8	0	0	0	10	0	38	0	10	0	22	7	5	0	0	4	3	7	7	0	21	1	0	1	0	0	0	2	0	0	1	3	21	16	43	13	2	11	10	1	17	8	9	1	2	0	0	2	1	0	12	4	2	9	8	1	0
k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Hypocreales; f__Clavicipitaceae; g__Metarhizium; s__Metarhizium_robertsii	4	0	0	3	1	0	0	0	0	0	0	2	2	0	0	6	0	0	589	0	0	0	0	0	2	2	2	0	0	5	2	1	1	2	3	0	0	0	23	0	2	0	0	1	0	0	0	1	0	0	0	13	0	2	10	0	1	0	0	4	0	0	3	0	2	0	3	0	112	0	0	0
k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Hypocreales; f__Hypocreaceae; g__Trichoderma; s__Trichoderma_lixii	5	2	5	0	6	0	8	0	4	2	4	0	5	0	2	14	0	3	3	0	0	2	8	0	2	3	28	2	7	4	4	2	1	2	1	0	11	0	31	0	0	0	61	3	6	4	4	1	2	9	2	9	27	0	13	0	7	9	6	3	23	2	33	6	0	4	3	0	0	3	1	0
k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Hypocreales; f__Hypocreaceae; g__Hypomyces; s__Hypomyces_ochraceus	0	19	0	2	1	1	4	6	8	5	3	0	3	3	0	0	2	4	5	0	0	0	0	3	0	0	0	1	0	1	0	3	0	1	0	0	3	4	0	0	0	0	0	5	4	0	1	0	2	0	0	0	0	0	0	0	0	1	1	0	6	3	1	0	0	0	3	18	0	0	0	4
k__Fungi; p__Ascomycota; c__Archaeorhizomycetes; Unclassified; Unclassified; Unclassified; Unclassified	8	2	1	0	3	79	21	2	0	5	0	0	0	0	0	0	0	0	0	124	1	0	0	0	0	0	4	2	8	0	7	2	8	20	17	11	3	0	11	3	0	0	0	0	1	0	0	20	5	39	3	1	0	0	1	0	9	2	0	0	0	0	0	0	0	7	2	23	6	7	0	0
k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Boletales; f__Boletaceae; Unclassified; Unclassified	0	0	2	2	0	0	0	3	0	0	0	475	148	1	285	4	2	6	64	2	252	18	0	0	5	776	153	2718	0	3	0	3	39	0	0	21	36	2	0	0	0	667	2	0	0	0	216	0	0	6	0	0	0	0	0	0	0	0	0	681	9	205	0	0	411	6	3	0	0	0	0	5
k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Thelephorales; f__Bankeraceae; g__Sarcodon; Unclassified	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	567	0	0	0	0
k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Geastrales; f__Geastraceae; g__Geastrum; s__Geastrum_mirabile	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Hypocreales; f__Nectriaceae; g__Acremoniopsis; s__Acremoniopsis_suttonii	2	4	7	0	0	0	0	0	0	5	0	0	0	0	0	6	0	0	0	0	9	0	0	0	0	0	21	0	4	0	0	0	2	0	0	0	1	0	9	3	0	0	0	3	0	4	0	0	0	0	0	5	8	0	13	0	0	0	0	0	0	0	3	0	0	0	10	3	0	0	0	0
