taxonomy	T001	T002	T003	T004	T005	T007	T008	T009	T011	T012	T013	T014	T015	T016	T017	T018	T019	T020	T021	T022	T023	T024	T025	T026	T027	T028	T029	T032	T033	T034	T035	T036	T037	T038	T039	T040	T041	T042	T044	T045	T046	T047	T048	T049	T050	T051	T052	T053	T054	T055	T056	T057	T058	T059	T061	T062	T064	T065	T067	T068	T069	T070	T071	T072	T076	T077	T079	T083	T084	T085	T087	T088
k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Chaetothyriales; f__Herpotrichiellaceae; Unclassified; Unclassified	799	128	724	20	41	1143	352	451	28	17	74	38	36	121	60	56	31	56	21	779	465	59	522	545	68	63	73	65	237	157	315	43	39	863	172	203	79	36	908	122	28	135	141	227	34	121	30	254	62	195	3	50	7	121	66	30	48	8	80	63	19	44	37	41	49	105	332	602	1112	101	211	83
k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Cantharellales; f__Cantharellaceae; g__Craterellus; Unclassified	0	0	0	104	9	0	0	1	0	0	2651	2	0	1	1622	0	43	4	118	10	2	3	4	400	2	0	0	2	811	0	0	370	2	2	267	497	0	0	1	60	355	44	1249	395	0	0	85	0	1	0	0	0	0	2	2097	0	0	0	0	2	1226	225	0	0	1	0	603	331	0	0	5	269
k__Fungi; p__Ascomycota; c__Leotiomycetes; o__Helotiales; Unclassified; Unclassified; Unclassified	1840	3897	744	502	234	1333	245	1507	102	95	88	66	153	64	67	530	145	290	120	234	188	783	338	187	108	177	737	248	163	81	413	228	63	447	279	454	235	202	1241	452	53	255	334	6118	158	341	541	182	214	1403	848	467	1749	115	374	94	45	178	155	333	175	668	302	105	284	217	470	1709	1755	49	820	487
k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Hypocreales; f__Hypocreaceae; g__Trichoderma; s__Trichoderma_spirale	329	43	95	185	328	68	118	405	519	1059	1415	644	306	347	650	128	306	113	751	1936	302	68	316	863	358	460	799	857	1297	639	152	500	1527	582	428	410	420	112	252	454	99	462	474	52	139	66	193	133	131	118	24	44	30	16	377	17	460	206	223	215	639	2333	553	175	396	259	212	124	124	752	1045	476
k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Hypocreales; Unclassified; Unclassified; Unclassified	254	802	200	76	84	222	80	243	299	54	276	259	178	771	123	681	181	143	161	252	465	1301	152	577	207	289	551	376	331	107	110	417	243	453	72	289	255	239	315	215	41	153	203	255	311	311	268	181	291	392	300	862	438	519	343	166	176	498	197	481	118	164	276	277	344	99	879	75	289	72	47	159
k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Russulales; f__Russulaceae; g__Lactarius; Unclassified	300	6	712	1243	620	10	37	32	3967	4642	1382	264	1924	344	1770	113	1128	437	2957	755	2802	2233	1148	1464	3361	2288	59	2897	127	9959	6236	509	3242	648	14	793	1831	4047	76	2070	6697	478	1430	2625	2498	2214	52	2	6	1	4	1	1	3	3841	8	3	7	777	7	2319	319	1456	4150	4583	7148	1053	111	4	528	1246	887
k__Fungi; p__Ascomycota; c__Sordariomycetes; Unclassified; Unclassified; Unclassified; Unclassified	2023	2797	1185	1047	1348	2986	692	2369	830	1346	1115	553	1118	1035	587	1151	1409	1200	652	1389	1115	552	1019	1078	894	913	1010	652	1078	589	930	1544	954	1350	1254	2553	2618	743	1147	629	484	1044	1264	1923	1670	2582	2271	2587	1613	3632	2063	1130	2178	1527	1169	899	2513	2756	849	983	1462	1475	1276	1224	2160	937	2484	2712	1191	942	235	633
k__Fungi; p__Basidiomycota; c__Tremellomycetes; o__Tremellales; f__Trimorphomycetaceae; g__Saitozyma; s__Saitozyma_podzolica	4664	2341	1083	3392	1178	5154	1838	1582	2431	3306	2649	6470	5174	5019	1604	4393	5535	2839	4752	3885	1866	8464	6236	3785	1662	6430	3213	2135	10005	1805	4186	6678	7521	4822	15125	1274	1946	1147	7398	7950	432	3853	2297	571	3461	2801	7689	3195	2967	4659	3500	5035	6205	5047	5477	2639	781	7157	2923	5819	2292	5471	2018	2235	901	1124	4439	4166	2809	2560	264	730
k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Eurotiales; f__Elaphomycetaceae; g__Elaphomyces; s__Elaphomyces_leucosporus	0	0	0	129	2240	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	298	0	0	5	0	0	0	104	0	0	0	868	0
k__Fungi; p__Ascomycota; c__Archaeorhizomycetes; o__GS31; Unclassified; Unclassified; Unclassified	17	0	0	357	0	15	9	42	0	0	0	0	0	0	0	0	0	0	0	0	64	13	0	0	0	0	22	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	107	0	177	72	58	131	10	492	42	0	100	31	80	16	93	0	0	88	0	0	0	170	2	11	5	0	0
k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Eurotiales; f__Aspergillaceae; g__Penicillium; Unclassified	45	133	241	28	32	176	56	48	168	50	65	68	334	168	108	304	174	96	79	14	51	266	52	140	131	78	544	64	47	19	58	136	69	176	40	175	47	59	140	84	43	152	122	67	93	84	69	45	68	441	113	280	205	144	95	27	32	82	57	186	28	69	60	48	32	109	268	51	75	34	8	49
k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Sordariales; Unclassified; Unclassified; Unclassified	1361	136	528	961	371	292	41	496	152	270	838	81	707	451	416	265	748	203	527	158	217	88	65	180	101	405	146	205	62	422	545	260	36	129	74	267	1386	455	400	207	34	339	279	568	203	173	61	84	189	146	164	111	833	128	558	51	111	134	1071	786	213	219	2372	360	467	135	308	452	423	179	783	1133
k__Fungi; p__Basidiomycota; c__Agaricomycetes; Unclassified; Unclassified; Unclassified; Unclassified	52	828	46	1157	3570	6019	1029	146	2753	434	1047	147	519	281	72	647	228	54	158	210	689	399	97	301	356	1205	2521	1179	958	129	90	15	133	583	52	321	908	3355	1076	738	158	192	954	119	4240	99	251	893	404	349	746	887	1399	280	172	152	23	176	436	209	514	309	55	576	191	107	322	106	152	723	101	272
k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Capnodiales; Unclassified; Unclassified; Unclassified	104	34	590	82	58	102	149	62	51	10	122	17	44	58	36	182	130	12	7	19	104	194	86	64	4	32	195	61	16	12	53	32	37	37	61	75	224	91	200	74	6	13	145	43	101	141	346	104	101	88	129	130	98	69	133	161	67	15	239	106	82	39	28	271	111	22	301	728	541	36	95	47
k__Fungi; p__Rozellomycota; Unclassified; Unclassified; Unclassified; Unclassified; Unclassified	433	242	220	160	112	419	257	350	331	165	249	154	205	158	85	254	116	93	103	298	116	388	331	227	242	278	182	248	234	144	263	274	195	362	106	226	118	126	359	100	130	266	60	76	27	29	131	123	136	213	195	182	442	559	103	229	102	344	214	169	206	135	145	113	98	73	460	330	120	101	33	49
k__Fungi; p__Glomeromycota; Unclassified; Unclassified; Unclassified; Unclassified; Unclassified	813	87	282	343	4	380	234	552	2251	261	59	100	20	134	118	85	12	1	17	596	3	6	155	308	58	53	82	213	50	4	51	238	111	520	109	187	8	2	123	36	6	290	15	102	71	87	94	238	238	345	62	125	257	384	51	42	127	63	67	49	91	18	33	168	3	351	128	415	770	19	111	48
k__Fungi; p__Glomeromycota; c__Glomeromycetes; Unclassified; Unclassified; Unclassified; Unclassified	678	457	1090	561	167	513	908	861	1654	1377	368	1215	606	320	311	739	45	106	172	218	123	499	586	600	679	50	532	303	281	98	311	1191	376	1404	131	491	140	4	464	414	3	678	776	16	370	46	198	266	179	269	140	78	126	321	51	222	58	111	438	18	246	298	186	340	19	32	312	945	483	61	78	394
k__Fungi; p__Ascomycota; c__Orbiliomycetes; o__Orbiliales; f__Orbiliaceae; g__Arthrobotrys; Unclassified	4	0	0	0	2	5	0	0	5	0	22	0	3	10	4	0	0	0	2	2	2	0	0	9	3	0	0	0	0	9	3	2	8	0	2	0	1	2	6	0	0	2	9	0	3	10	4	0	9	0	0	15	7	0	3	1	0	4	0	20	9	0	0	1	2	0	5	0	4	0	0	0
k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Boliniales; f__Boliniaceae; g__Camarops; Unclassified	91	0	1	3	3	0	0	10	5	0	0	0	0	0	0	0	2	0	16	2	0	19	8	27	3	3	19	0	11	5	18	6	3	139	8	0	13	10	15	5	5	3	0	8	3	2	6	0	40	0	3	10	7	0	0	0	0	1	1	8	2	0	2	9	0	0	313	0	12	2	1	3
k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Agaricales; f__Cortinariaceae; Unclassified; Unclassified	0	0	211	0	0	0	3	12	0	92	0	2	0	291	56	44	1496	0	0	0	0	0	66	0	0	2	0	0	0	0	0	0	0	1	0	0	183	1	0	0	0	30	0	0	14	0	0	4	4	0	0	0	0	0	0	0	4	0	474	0	0	0	0	0	0	10	76	2	345	10	0	0
k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Xylariales; f__Sporocadaceae; g__Pestalotiopsis; s__Pestalotiopsis_grevilleae	0	0	2	0	0	0	3	0	0	0	0	0	0	2	5	4	0	1	0	0	3	0	0	6	0	0	0	3	0	0	0	1	0	6	0	0	0	6	5	0	0	8	4	0	2	4	11	0	0	8	0	2	0	0	0	1	0	1	0	2	0	0	0	0	0	5	8	0	3	0	0	0
k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Eurotiales; f__Trichocomaceae; g__Sagenomella; s__Sagenomella_striatispora	64	61	237	47	14	53	126	39	71	106	7	49	86	104	52	59	18	37	105	0	29	21	35	75	18	38	10	8	4	4	0	83	26	64	7	32	46	33	4	0	0	14	4	12	10	35	86	31	25	33	2	1	2	0	96	0	0	0	5	12	14	46	0	52	6	5	537	40	0	54	0	27
k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Onygenales; Unclassified; Unclassified; Unclassified	1679	0	0	0	3	11	311	101	0	0	0	0	0	0	0	13	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	114	0	22	756	19	82	19	5	30	53	15	9	5	360	23	44	0	0	12	48	0	0	152	0	3	6	0	0
k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Sordariales; f__Chaetomiaceae; g__Chaetomium; Unclassified	35	0	2	41	20	49	209	12	62	23	38	55	7	76	21	56	86	17	292	0	66	50	66	130	54	7	269	57	5	15	90	121	50	140	6	33	152	21	53	21	11	31	9	71	400	164	153	692	296	41	309	300	161	220	110	85	46	694	183	327	82	33	325	27	25	8	306	20	82	87	30	20
k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Eurotiales; f__Aspergillaceae; g__Penicillium; s__Penicillium_robsamsonii	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	42	26	38	9	4	1	35	5	151	9	0	2	0	10	8	9	0	0	1	0	0	0	427	0	0	0	0	0
k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Agaricales; f__Entolomataceae; g__Entoloma; Unclassified	28	6	355	11	8	25	19	47	17	37	4	22	70	202	23	51	3	0	2	99	31	8	24	65	35	7	103	47	7	0	33	20	29	89	123	36	40	2	78	8	0	52	1038	1	25	5	27	1	13	2	24	12	7	3	14	10	5	27	6	25	17	5	19	0	4	4	2292	35	9	17	2	15
k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Agaricales; f__Tricholomataceae; g__Mycena; Unclassified	14	6	5	354	3	4	20	70	203	625	78	71	7	429	81	200	56	28	4	4922	507	2	26	17	0	45	18	2	2	10	767	18	1	80	13	316	8	3	97	9	1	11	551	2	159	6	42	16	48	5	4010	307	125	69	41	14045	12	62	400	170	12	377	185	7	47	84	191	76	617	8	60	63
k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Diaporthales; Unclassified; Unclassified; Unclassified	1	0	0	0	17	54	0	21	0	1	0	0	0	0	0	0	7	0	0	0	3	4	0	0	0	2	3	0	0	0	0	0	0	0	0	1	1	46	0	0	1	0	0	0	3	11	3	0	0	0	0	1	43	5	13	3	3	2	1	3	1	0	2	1	0	1	6	8	0	1	3	0
k__Fungi; p__Ascomycota; c__Sordariomycetes; Unclassified; Unclassified; g__Cordana; Unclassified	37	31	13	55	171	450	108	34	4	0	41	23	20	10	73	94	201	2	8	5	0	2	118	12	17	0	27	1	10	4	31	3	10	0	244	0	152	4	24	65	81	575	517	694	368	441	78	99	107	41	461	49	30	19	8	49	1	0	312	117	15	15	141	95	21	2	799	65	225	33	1	83
